Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,PPi,Cpu brand,HDD,SSD,Gpu brand,Os
Xiaomi,Ultrabook,8,8.0,53274.67199999999,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,8.0,37189.44,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,8.0,44701.92,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,8.0,48697.92,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,32.0,324954.72,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,8.0,51095.52,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,16.0,73473.12,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,8.0,55677.6,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,16.0,98301.6,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,4.0,26267.04,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,8.0,39533.76,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,16.0,93186.72,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,16.0,162770.4,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,16.0,74485.44,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
Dell,Notebook,6,6.0,23389.92,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,8.0,103842.72,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,8.0,77202.72,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,8.0,31808.16,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,8.0,41505.12,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,16.0,74964.95999999999,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,4.0,18594.72,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,8.0,29250.72,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,8.0,79866.72,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,8.0,49650.5664,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,8.0,31381.92,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,8.0,54931.68,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,8.0,61218.72,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,16.0,68145.12,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,8.0,36089.208,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,8.0,47898.72,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,8.0,72620.64,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,8.0,42304.32,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,16.0,130873.7952,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,8.0,44328.96,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,16.0,45768.0528,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,8.0,40972.32,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,8.0,47472.48,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,8.0,67612.31999999999,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,4.0,21258.1872,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,4.0,17582.399999999998,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,16.0,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,8.0,45767.52,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,8.0,36709.92,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,16.0,47898.72,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
Acer,Notebook,4,4.0,20779.2,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Asus,Notebook,4,4.0,30636.0,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,32.0,207259.2,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,8.0,45074.88,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,8.0,31381.92,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,8.0,61005.6,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,8.0,47365.92,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Others/No OS/Linux
Dell,Gaming,8,8.0,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,8.0,57489.12,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,8.0,52480.8,0,0,141.21199808219862,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,8.0,29783.52,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
